"﻿""Area""",Item,Element,2009,flag,2010,flag,2011,flag,2012,flag,2013,flag
Armenia,Wheat,Producer Price (USD/tonne) (USD),264.55,,323.91,,372.91,,393.97,,395.64,
Armenia,Barley,Producer Price (USD/tonne) (USD),262.91,,325.54,,389.26,,395.98,,404.56,
Armenia,Rye,Producer Price (USD/tonne) (USD),254.18,,314.94,,409.11,,372.86,,413.93,
Albania,Wheat,Producer Price (USD/tonne) (USD),273.75,,279.41,,406.63,,360.61,,407.06,
Albania,Barley,Producer Price (USD/tonne) (USD),410.62,,308.31,,339.18,,316.23,,482.8,
Albania,Maize,Producer Price (USD/tonne) (USD),284.28,,289.05,,386.79,,360.61,,416.53,
Albania,Rye,Producer Price (USD/tonne) (USD),368.51,,292.51,,339.18,,316.23,,454.4,
Albania,Oats,Producer Price (USD/tonne) (USD),357.98,,346.57,,367.95,,343.04,,463.86,
Algeria,Wheat,Producer Price (USD/tonne) (USD),619.49,,605,,617.11,,580.95,,567.1,
Algeria,Barley,Producer Price (USD/tonne) (USD),344.16,,336.11,,342.84,,322.75,,315.06,
Algeria,Oats,Producer Price (USD/tonne) (USD),220.26,,215.11,,219.42,,206.56,,201.64,
Angola,Rice paddy,Producer Price (USD/tonne) (USD),,,,,442.76,,708.08,,429.99,
Angola,Maize,Producer Price (USD/tonne) (USD),,,440.74,,399.02,,693.41,,387.71,
Angola,Millet,Producer Price (USD/tonne) (USD),,,314.51,,291.26,,373.94,,282.86,
Angola,Sorghum,Producer Price (USD/tonne) (USD),,,314.51,,321.14,,406.41,,314.05,
Argentina,Wheat,Producer Price (USD/tonne) (USD),148.76,,160.44,,222.38,,214.26,,236.72,
Argentina,Rice paddy,Producer Price (USD/tonne) (USD),223.72,,263.33,,239.9,,262.91,,277.54,
Argentina,Maize,Producer Price (USD/tonne) (USD),113.52,,134.97,,176.32,,203.44,,181.29,
Argentina,Oats,Producer Price (USD/tonne) (USD),180.59,,213.51,,146.75,,132.45,,221.02,
Argentina,Sorghum,Producer Price (USD/tonne) (USD),97.21,,107.47,,168.55,,155.46,,154.5,
Argentina,Canary seed,Producer Price (USD/tonne) (USD),391.32,,440.74,,505.95,,477.26,,413.62,
Australia,Wheat,Producer Price (USD/tonne) (USD),223.02,,200,,264.95,,234.02,,303.12,
Australia,Rice paddy,Producer Price (USD/tonne) (USD),449.21,,419.27,,247.42,,278.35,,251.79,
Australia,Barley,Producer Price (USD/tonne) (USD),183.33,,157.8,,222.68,,216.49,,267.29,
Australia,Maize,Producer Price (USD/tonne) (USD),224.6,,248.62,F,267.01,,258.76,,230.49,
Australia,Oats,Producer Price (USD/tonne) (USD),171.43,,146.79,,202.06,,208.25,,228.55,
Australia,Sorghum,Producer Price (USD/tonne) (USD),162.7,,179.82,,219.59,,194.85,,244.04,
Australia,Triticale,Producer Price (USD/tonne) (USD),203.97,,202.29,F,189.69,,181.44,,241.14,
Austria,Wheat,Producer Price (USD/tonne) (USD),126.39,,242.11,,218.06,,270.51,,196.57,
Austria,Barley,Producer Price (USD/tonne) (USD),111.11,,159.21,,218.06,,234.62,,185.94,
Austria,Maize,Producer Price (USD/tonne) (USD),130.56,,235.53,,206.94,,283.33,,200.55,
Austria,Rye,Producer Price (USD/tonne) (USD),112.5,,244.74,,276.39,,244.87,,162.04,
Austria,Oats,Producer Price (USD/tonne) (USD),100,,172.37,,211.11,,214.1,,187.27,
Austria,Triticale,Producer Price (USD/tonne) (USD),98.61,,172.37,,198.61,,241.03,,175.32,
Bangladesh,Wheat,Producer Price (USD/tonne) (USD),250.14,,295.19,,263.63,,,,,
Bangladesh,Rice paddy,Producer Price (USD/tonne) (USD),180.45,F,189.65,F,205.05,,,,,
Bangladesh,Maize,Producer Price (USD/tonne) (USD),185.25,,223.69,,184.26,,,,,
Bhutan,Wheat,Producer Price (USD/tonne) (USD),265.87,,376.15,,402.07,,374.88,,383.68,
Bhutan,Rice paddy,Producer Price (USD/tonne) (USD),888.98,,891.41,,1108.32,,1030.93,,1036.45,
Bhutan,Barley,Producer Price (USD/tonne) (USD),266.28,,376.15,,401.53,,378.12,,385.8,
Bhutan,Maize,Producer Price (USD/tonne) (USD),230.93,,319.68,,322.01,,287.8,,299.25,
Bhutan,Millet,Producer Price (USD/tonne) (USD),235.89,,263.68,,258.7,,225.35,,,
Bolivia (Plurinational State of),Wheat,Producer Price (USD/tonne) (USD),230.56,,256.4,,261.9,,265.3,,276.24,
Bolivia (Plurinational State of),Rice paddy,Producer Price (USD/tonne) (USD),183.18,,169.84,,168.99,,175.23,,196.41,
Bolivia (Plurinational State of),Barley,Producer Price (USD/tonne) (USD),148.05,,164.33,,166.26,,165.83,,156.23,
Bolivia (Plurinational State of),Maize,Producer Price (USD/tonne) (USD),176.82,,157.41,,158.71,,165.66,,185.41,
